Flap Positions,Flap Angles,alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
0.65,10,-1,0,0.403581,0.007956,0.015833,0.023788,0,0,-0.704929,0,0,18.6403,0.5363
0.65,10,-0.5,0,0.456868,0.009746,0.015705,0.025451,0,0,-0.73555,0,0,17.5195,0.5079
0.65,10,0,0,0.51009,0.011733,0.015864,0.027598,0,0,-0.766113,0,0,16.5804,0.4855
0.65,10,0.5,0,0.563239,0.013917,0.016392,0.030309,0,0,-0.796623,0,0,15.7787,0.4673
0.65,10,1,0,0.616306,0.016296,0.017117,0.033413,0,0,-0.827042,0,0,15.0841,0.4523
0.65,10,1.5,0,0.669281,0.018868,0.017685,0.036553,0,0,-0.857473,0,0,14.4748,0.4397
0.65,10,2,0,0.722155,0.021633,0.018049,0.039682,0,0,-0.887882,0,0,13.9349,0.429
0.65,10,2.5,0,0.774919,0.024589,0.018369,0.042958,0,0,-0.918206,0,0,13.4521,0.4198
0.65,10,3,0,0.827564,0.027734,0.018742,0.046476,0,0,-0.948414,0,0,13.0172,0.4118
0.65,10,3.5,0,0.880081,0.031066,0.01917,0.050236,0,0,-0.978497,0,0,12.6228,0.4047
0.65,10,4,0,0.932461,0.034583,0.019641,0.054224,0,0,-1.008447,0,0,12.2632,0.3985
0.65,10,4.5,0,0.984695,0.038284,0.020132,0.058416,0,0,-1.038252,0,0,11.9335,0.393
0.65,10,5,0,1.036775,0.042165,0.02066,0.062824,0,0,-1.067898,0,0,11.6299,0.3881
0.65,10,5.5,0,1.088691,0.046224,0.021208,0.067432,0,0,-1.097368,0,0,11.3492,0.3836
0.65,10,6,0,1.140436,0.050459,0.021793,0.072251,0,0,-1.126649,0,0,11.0887,0.3796
0.65,10,6.5,0,1.192,0.054867,0.022474,0.077341,0,0,-1.155732,0,0,10.8463,0.376
0.65,10,7,0,1.243375,0.059445,0.023257,0.082702,0,0,-1.184608,0,0,10.6198,0.3727
0.65,10,7.5,0,1.294552,0.06419,0.024234,0.088423,0,0,-1.213257,0,0,10.4078,0.3697
0.65,10,8,0,1.345523,0.069099,0.026031,0.09513,0,0,-1.241901,0,0,10.2087,0.367
0.65,10,8.5,0,1.39628,0.074169,0.027956,0.102125,0,0,-1.27033,0,0,10.0215,0.3645
0.65,10,9,0,1.446815,0.079396,0.030126,0.109522,0,0,-1.298557,0,0,9.8449,0.3621
0.65,10,9.5,0,1.497119,0.084778,0.032417,0.117194,0,0,-1.326573,0,0,9.6781,0.36
0.65,2,-3,0,0.03869,0.000444,0.014257,0.014701,0,0,0.250102,0,0,60.2033,-1.1382
0.65,2,-2.5,0,0.092079,0.000543,0.013412,0.013954,0,0,0.220342,0,0,39.0246,-0.3084
0.65,2,-2,0,0.145468,0.00084,0.013551,0.014391,0,0,0.190348,0,0,31.048,-0.0877
0.65,2,-1.5,0,0.198848,0.001336,0.013342,0.014678,0,0,0.160319,0,0,26.5557,0.0145
0.65,2,-1,0,0.252209,0.002032,0.012646,0.014678,0,0,0.13034,0,0,23.5797,0.0734
0.65,2,-0.5,0,0.305542,0.002926,0.012124,0.015049,0,0,0.100282,0,0,21.4231,0.1118
0.65,2,0,0,0.358839,0.004018,0.012024,0.016042,0,0,0.070116,0,0,19.7682,0.1388
0.65,2,0.5,0,0.412089,0.005308,0.012247,0.017555,0,0,0.039864,0,0,18.4469,0.1588
0.65,2,1,0,0.465283,0.006795,0.012572,0.019366,0,0,0.009556,0,0,17.3604,0.1742
0.65,2,1.5,0,0.518412,0.008478,0.012946,0.021424,0,0,-0.020793,0,0,16.4468,0.1865
