Flap Position,Flap Angle,alpha,CL,Cm,CD,CL/CD,dCm/dalpha,Static Margin,Cm<0,dCm/da<0,SM>0,All Stable
0.65,2,1.4,0.5004,-0.008,0.01971,25.392,-0.00447,0.136,True,True,True,True
0.65,2,1.5,0.5004,-0.0083,0.01971,25.392,-0.02674,0.1733,True,True,True,True
0.65,0,3.8,0.7783,-0.0049,0.03078,25.281,-0.03374,0.0616,True,True,True,True
0.7,0,3.8,0.7777,-0.0009,0.03081,25.239,-0.02731,0.0495,True,True,True,True
0.7,0,4.0,0.7763,-0.0025,0.03082,25.187,-0.00809,2.9084,True,True,True,True
0.65,0,4.0,0.7772,-0.0069,0.03089,25.163,-0.00318,0.4466,True,True,True,True
0.7,0,4.2,0.7769,-0.0025,0.03092,25.127,-0.05324,0.3468,True,True,True,True
0.65,0,4.2,0.7786,-0.006,0.03102,25.097,-0.05262,0.3061,True,True,True,True
0.65,2,1.3,0.4938,-0.0074,0.01971,25.058,-0.08635,0.4708,True,True,True,True
0.75,2,2.2,0.5726,-0.021,0.02323,24.649,-0.12061,0.5413,True,True,True,True
0.75,2,2.1,0.5721,-0.0207,0.02321,24.642,-0.00305,0.0921,True,True,True,True
0.7,2,2.2,0.5732,-0.0399,0.02338,24.512,-0.13129,0.5289,True,True,True,True
0.7,2,1.8,0.5718,-0.0447,0.02339,24.444,-0.19999,0.8838,True,True,True,True
0.75,2,2.0,0.566,-0.0204,0.0232,24.389,-0.00169,0.0504,True,True,True,True
0.75,0,4.3,0.8224,-0.0004,0.03375,24.364,-0.06917,0.3854,True,True,True,True
0.75,2,1.8,0.5652,-0.0235,0.02322,24.347,-0.18679,1.0713,True,True,True,True
0.65,2,2.2,0.5753,-0.0456,0.02372,24.255,-0.11491,0.5115,True,True,True,True
0.7,2,2.3,0.6225,-0.0661,0.0258,24.131,-0.13265,0.538,True,True,True,True
0.7,2,2.7,0.6229,-0.0634,0.02586,24.089,-0.2344,0.9321,True,True,True,True
0.75,2,2.3,0.6166,-0.0448,0.02562,24.068,-0.11925,0.5415,True,True,True,True
0.65,2,2.7,0.6265,-0.0673,0.02611,23.997,-0.26458,1.063,True,True,True,True
0.75,2,2.7,0.6174,-0.0389,0.02576,23.968,-0.24583,0.9723,True,True,True,True
0.75,0,4.7,0.8304,-0.0047,0.03465,23.961,-0.06488,0.2739,True,True,True,True
0.75,0,4.6,0.8304,-0.0047,0.03465,23.961,-0.00599,0.1252,True,True,True,True
0.65,2,1.8,0.5683,-0.0505,0.02372,23.959,-0.18377,0.8418,True,True,True,True
0.7,0,4.3,0.8076,-0.0132,0.03376,23.917,-0.07823,0.3491,True,True,True,True
0.65,0,4.3,0.813,-0.0165,0.03401,23.906,-0.06648,0.3867,True,True,True,True
0.7,2,1.6,0.5271,-0.0047,0.0221,23.851,-0.03196,0.2119,True,True,True,True
0.7,4,2.3,0.6422,-0.2605,0.02695,23.827,-0.07492,0.3282,True,True,True,True
0.7,2,1.7,0.5266,-0.0047,0.0221,23.827,-0.19999,0.8944,True,True,True,True
0.65,2,2.4,0.6205,-0.0686,0.02606,23.815,-0.00169,0.0506,True,True,True,True
0.65,2,2.3,0.6202,-0.0686,0.02606,23.803,-0.11491,0.5078,True,True,True,True
0.7,2,2.8,0.6732,-0.1116,0.02833,23.767,-0.24793,0.9859,True,True,True,True
0.75,0,4.5,0.8208,-0.0035,0.03455,23.755,-0.00743,0.1754,True,True,True,True
0.7,2,3.2,0.6734,-0.1104,0.02836,23.747,-0.09852,0.3643,True,True,True,True
0.65,2,2.8,0.6763,-0.1203,0.02851,23.719,-0.2594,1.0422,True,True,True,True
0.75,4,2.3,0.6344,-0.2171,0.02678,23.692,-0.1141,0.5789,True,True,True,True
0.75,2,2.8,0.668,-0.0881,0.02822,23.67,-0.23274,0.9173,True,True,True,True
0.65,2,3.2,0.6764,-0.1162,0.02859,23.659,-0.10963,0.4047,True,True,True,True
0.65,2,1.6,0.5312,-0.0134,0.02254,23.566,-0.02717,0.1762,True,True,True,True
0.65,2,1.7,0.5312,-0.0137,0.02254,23.565,-0.18553,1.0024,True,True,True,True
0.7,0,4.7,0.8266,-0.0191,0.03514,23.524,-0.06627,0.3201,True,True,True,True
0.65,4,2.3,0.6428,-0.2749,0.02733,23.517,-0.09067,0.4446,True,True,True,True
0.7,0,4.6,0.8271,-0.0191,0.0352,23.497,-0.00293,0.1185,True,True,True,True
0.0,4,0.4,0.4436,-0.0851,0.01892,23.447,-0.07585,0.7062,True,True,True,True
0.0,4,0.7,0.4436,-0.0851,0.01892,23.447,-0.20055,0.6252,True,True,True,True
0.65,4,0.4,0.4495,-0.1625,0.01917,23.444,-0.08483,0.7697,True,True,True,True
0.65,4,0.7,0.4497,-0.1621,0.01919,23.433,-0.0694,0.2448,True,True,True,True
0.75,2,3.2,0.6682,-0.0864,0.02853,23.418,-0.10235,0.3733,True,True,True,True
0.7,0,4.5,0.8217,-0.0185,0.0351,23.408,-0.00468,0.1721,True,True,True,True
0.7,0,4.4,0.8217,-0.0182,0.0351,23.408,-0.02675,0.3791,True,True,True,True
0.7,4,0.4,0.4448,-0.1439,0.01902,23.387,-0.11979,1.0502,True,True,True,True
0.75,4,2.1,0.6016,-0.1905,0.02573,23.383,-0.0895,1.4351,True,True,True,True
